               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11703,            0.028596,                   0,                   0,                   0,                   0,                   0,             0.11234,            0.026454,                   0,              0.0003,              0.0003,              0.0973
                   1,             0.10774,            0.030428,                   0,          0.00083333,                0.25,          0.00057527,          6.9638e-05,            0.091363,            0.027276,                   0,          0.00069307,          0.00069307,            0.093693
                   2,            0.094188,            0.031852,                   0,            0.003125,              0.9375,           0.0089424,           0.0027566,            0.066346,             0.02818,                   0,           0.0010782,           0.0010782,            0.090078
                   3,             0.08388,            0.033753,                   0,           0.0033333,                   1,             0.18417,            0.043023,            0.061582,            0.026434,                   0,           0.0014555,           0.0014555,            0.086455
                   4,            0.079043,            0.030997,                   0,           0.0027083,              0.8125,           0.0036077,          0.00079809,             0.07691,            0.023322,                   0,           0.0018248,           0.0018248,            0.082825
                   5,            0.080016,            0.027815,                   0,           0.0041204,                   1,            0.038213,           0.0072369,            0.066835,             0.02404,                   0,           0.0021861,           0.0021861,            0.079186
                   6,            0.072296,            0.028451,                   0,            0.012526,                0.75,            0.065624,            0.009129,            0.067117,             0.02168,                   0,           0.0025396,           0.0025396,             0.07554
                   7,            0.074275,            0.030137,                   0,            0.003125,              0.9375,           0.0047558,           0.0011452,            0.083285,            0.018245,                   0,           0.0028852,           0.0028852,            0.071885
                   8,             0.08654,            0.024794,                   0,            0.010666,                   1,             0.13665,            0.053684,            0.080306,            0.018221,                   0,           0.0032228,           0.0032228,            0.068223
                   9,            0.085202,            0.022909,                   0,            0.014034,                   1,             0.17611,            0.058736,             0.08594,            0.016143,                   0,           0.0035525,           0.0035525,            0.064553
                  10,            0.085241,            0.023508,                   0,           0.0068466,                   1,            0.037822,           0.0082939,            0.077622,            0.016274,                   0,           0.0038743,           0.0038743,            0.060874
                  11,            0.074086,            0.020088,                   0,            0.016632,                   1,             0.15019,            0.055833,             0.08742,            0.013829,                   0,           0.0041882,           0.0041882,            0.057188
                  12,            0.071746,            0.018053,                   0,            0.015519,                   1,             0.40116,            0.099035,            0.079275,            0.013686,                   0,           0.0044941,           0.0044941,            0.053494
                  13,            0.068425,            0.023004,                   0,            0.043737,                   1,             0.28032,            0.053278,            0.054426,            0.016235,                   0,           0.0047922,           0.0047922,            0.049792
                  14,            0.057541,            0.022493,                   0,            0.011781,                   1,             0.17872,            0.034775,            0.067749,            0.013855,                   0,           0.0050823,           0.0050823,            0.046082
                  15,            0.071604,            0.019643,                   0,             0.16623,                   1,             0.29725,             0.10042,            0.075464,            0.012122,                   0,           0.0053644,           0.0053644,            0.042364
                  16,            0.080424,            0.017404,                   0,             0.44284,                0.25,             0.45174,             0.12206,            0.074773,             0.01158,                   0,           0.0056387,           0.0056387,            0.038639
                  17,            0.069709,            0.017188,                   0,             0.83048,               0.625,             0.68716,             0.14661,            0.080377,            0.010827,                   0,           0.0059051,           0.0059051,            0.034905
                  18,            0.081745,            0.015141,                   0,             0.80113,                 0.5,               0.657,             0.15648,            0.071474,            0.011384,                   0,           0.0061635,           0.0061635,            0.031163
                  19,            0.070593,            0.017493,                   0,             0.85437,                 0.5,             0.66049,             0.21287,            0.068802,            0.011072,                   0,            0.006414,            0.006414,            0.027414
                  20,            0.059043,            0.017068,                   0,             0.55489,              0.5462,              0.5154,             0.14921,            0.081911,           0.0099635,                   0,           0.0066566,           0.0066566,            0.023657
                  21,            0.066416,            0.018863,                   0,             0.41824,              0.6875,               0.593,             0.19262,            0.079889,             0.01023,                   0,           0.0068913,           0.0068913,            0.019891
                  22,            0.070652,            0.014657,                   0,             0.54113,               0.375,             0.37547,            0.065673,            0.084855,           0.0093488,                   0,            0.007118,            0.007118,            0.016118
                  23,            0.079453,            0.014179,                   0,             0.71383,               0.375,             0.48194,             0.13485,            0.071011,            0.010885,                   0,           0.0073369,           0.0073369,            0.012337
                  24,            0.071229,             0.01768,                   0,             0.57561,               0.375,             0.49976,             0.11341,            0.063294,            0.010784,                   0,           0.0075478,           0.0075478,           0.0085478
                  25,            0.058941,            0.018237,                   0,                   1,             0.47701,               0.724,             0.23658,            0.063478,            0.010252,                   0,            0.007525,            0.007525,            0.007525
